job,skill,years
__Consulting Architect  / Eleven,JQuery,2
__Consulting Architect  / Eleven,Shiro,2
__Consulting Architect  / Eleven,XML,2
__Consulting Architect  / Eleven,XSLT,2
__Consulting Architect  / Eleven,Altova XMLSpy,2
__Consulting Architect  / Eleven,_Hibernate,2
__Consulting Architect  / Eleven,Java,2
__Consulting Architect  / Eleven,VSCode,2
__Consulting Architect  / Eleven,PyCharm,2
__Consulting Architect  / Eleven,Omnigraffle,2
__Consulting Architect  / Eleven,MS Project,2
__Consulting Architect  / Eleven.1,Apache Parquet,2
__Consulting Architect  / Eleven.1,_Secrets Manager,2
__Consulting Architect  / Eleven.1,_CLI,2
__Consulting Architect  / Eleven.1,_architecture,2
__Consulting Architect  / Eleven.1,JQuery,2
__Consulting Architect  / Eleven.1,Shiro,2
__Consulting Architect  / Eleven.1,XML,2
__Consulting Architect  / Eleven.1,XSLT,2
__Consulting Architect  / Eleven.1,Altova XMLSpy,2
__Consulting Architect  / Eleven.1,_Hibernate,2
__Consulting Architect  / Eleven.1,Java,2
__Consulting Architect  / Eleven.1,VSCode,2
__Consulting Architect  / Eleven.1,PyCharm,2
__Consulting Architect  / Eleven.1,Omnigraffle,2
__Consulting Architect  / Eleven.1,MS Project,2
__Technical Lead / EMI,Apache Parquet,2
__Technical Lead / EMI,_Secrets Manager,2
__Technical Lead / EMI,_CLI,2
__Technical Lead / EMI,_architecture,2
__Technical Lead / EMI,_Hibernate,2
__Technical Lead / EMI,VSCode,2
__Technical Lead / EMI,PyCharm,2
__Technical Lead / EMI,Omnigraffle,2
__Technical Lead / EMI,MS Project,2
__Technical Lead / EMI.1,Apache Parquet,2
__Technical Lead / EMI.1,_Secrets Manager,2
__Technical Lead / EMI.1,_CLI,2
__Technical Lead / EMI.1,_architecture,2
__Technical Lead / EMI.1,_Hibernate,2
__Technical Lead / EMI.1,J2EE,2
__Technical Lead / EMI.1,VSCode,2
__Technical Lead / EMI.1,PyCharm,2
__Technical Lead / EMI.1,Omnigraffle,2
__Technical Lead / EMI.1,MS Project,2
__Technical Lead / Rowe,Apache Parquet,1
__Technical Lead / Rowe,_Secrets Manager,1
__Technical Lead / Rowe,_CLI,1
__Technical Lead / Rowe,_architecture,1
__Technical Lead / Rowe,_Hibernate,1
__Technical Lead / Rowe,J2EE,1
__Technical Lead / Rowe,VSCode,1
__Technical Lead / Rowe,PyCharm,1
__Technical Lead / Rowe,Omnigraffle,1
__Technical Lead / Rowe,MS Project,1
__Technical Lead / Rowe.1,Apache Parquet,nan
__Technical Lead / Rowe.1,_Secrets Manager,nan
__Technical Lead / Rowe.1,_CLI,nan
__Technical Lead / Rowe.1,_architecture,nan
__Technical Lead / Rowe.1,_Hibernate,nan
__Technical Lead / Rowe.1,PyCharm,nan
__Technical Lead / Rowe.1,Omnigraffle,nan
__Technical Lead / Rowe.1,MS Project,nan
__Conulting Architect/ Instrusic,Apache Parquet,1
__Conulting Architect/ Instrusic,_Secrets Manager,1
__Conulting Architect/ Instrusic,_CLI,1
__Conulting Architect/ Instrusic,_architecture,1
__Conulting Architect/ Instrusic,Looker,1
__Conulting Architect/ Instrusic,DynamoDB,1
__Conulting Architect/ Instrusic,_Hibernate,1
__Conulting Architect/ Instrusic,VSCode,1
__Conulting Architect/ Instrusic,PyCharm,1
__Conulting Architect/ Instrusic,Omnigraffle,1
__Conulting Architect/ Instrusic,MS Project,1
__Conulting Architect/ Instrusic,_EC2,1
Architect / HomePortfoio,Apache Parquet,5
Architect / HomePortfoio,_Secrets Manager,5
Architect / HomePortfoio,_CLI,5
Architect / HomePortfoio,_architecture,5
Architect / HomePortfoio,XSLT,5
Architect / HomePortfoio,Altova XMLSpy,5
Architect / HomePortfoio,_RedShift,5
Architect / HomePortfoio,MySQL,5
Architect / HomePortfoio,_Hibernate,5
Architect / HomePortfoio,Selenium,5
Architect / HomePortfoio,Terraform,5
Architect / HomePortfoio,Yml,5
Architect / HomePortfoio,ATG Dynamo,5
Architect / HomePortfoio,Akamai,5
Architect / HomePortfoio,VSCode,5
Architect / HomePortfoio,PyCharm,5
Architect / HomePortfoio,Omnigraffle,5
Architect / HomePortfoio,MS Project,5
Architect / HomePortfoio.1,Apache Parquet,5
Architect / HomePortfoio.1,_Secrets Manager,5
Architect / HomePortfoio.1,_CLI,5
Architect / HomePortfoio.1,_architecture,5
Architect / HomePortfoio.1,XSLT,5
Architect / HomePortfoio.1,Altova XMLSpy,5
Architect / HomePortfoio.1,_RedShift,5
Architect / HomePortfoio.1,MySQL,5
Architect / HomePortfoio.1,_Hibernate,5
Architect / HomePortfoio.1,Selenium,5
Architect / HomePortfoio.1,Terraform,5
Architect / HomePortfoio.1,Yml,5
Architect / HomePortfoio.1,ATG Dynamo,5
Architect / HomePortfoio.1,Akamai,5
Architect / HomePortfoio.1,MS Project,5
Architect / HomePortfoio.2,Apache Parquet,5
Architect / HomePortfoio.2,_Secrets Manager,5
Architect / HomePortfoio.2,_CLI,5
Architect / HomePortfoio.2,_architecture,5
Architect / HomePortfoio.2,XSLT,5
Architect / HomePortfoio.2,Altova XMLSpy,5
Architect / HomePortfoio.2,_RedShift,5
Architect / HomePortfoio.2,MySQL,5
Architect / HomePortfoio.2,_Hibernate,5
Architect / HomePortfoio.2,Selenium,5
Architect / HomePortfoio.2,Terraform,5
Architect / HomePortfoio.2,Yml,5
Architect / HomePortfoio.2,ATG Dynamo,5
Architect / HomePortfoio.2,Akamai,5
Architect / HomePortfoio.2,MS Project,5
Architect / HomePortfoio.3,Apache Parquet,5
Architect / HomePortfoio.3,_Secrets Manager,5
Architect / HomePortfoio.3,_CLI,5
Architect / HomePortfoio.3,_architecture,5
Architect / HomePortfoio.3,XSLT,5
Architect / HomePortfoio.3,Altova XMLSpy,5
Architect / HomePortfoio.3,_RedShift,5
Architect / HomePortfoio.3,MySQL,5
Architect / HomePortfoio.3,_Hibernate,5
Architect / HomePortfoio.3,Selenium,5
Architect / HomePortfoio.3,Terraform,5
Architect / HomePortfoio.3,Yml,5
Architect / HomePortfoio.3,ATG Dynamo,5
Architect / HomePortfoio.3,Akamai,5
Architect / HomePortfoio.3,MS Project,5
Architect / HomePortfoio.4,Apache Parquet,5
Architect / HomePortfoio.4,_Secrets Manager,5
Architect / HomePortfoio.4,_CLI,5
Architect / HomePortfoio.4,_architecture,5
Architect / HomePortfoio.4,Selenium,5
Architect / HomePortfoio.4,Terraform,5
Architect / HomePortfoio.4,Yml,5
Architect / HomePortfoio.4,ATG Dynamo,5
Architect / HomePortfoio.4,Akamai,5
Technical Lead / BuildingBlocks,Apache Parquet,1
Technical Lead / BuildingBlocks,_Secrets Manager,1
Technical Lead / BuildingBlocks,_architecture,1
Technical Lead / BuildingBlocks,MS Excel ,1
Technical Lead / BuildingBlocks,_EC2,1
Technical Lead / BuildingBlocks,Macromedia Director,1
Technical Lead / BuildingBlocks,C,1
Technical Lead / BuildingBlocks,MATLAB,1
Technical Lead / BuildingBlocks,X11,1
Ph.D. Student / MIT Media Lab,_architecture,7
Ph.D. Student / MIT Media Lab,_EC2,7
Ph.D. Student / MIT Media Lab,Macromedia Director,7
Ph.D. Student / MIT Media Lab,C,7
Ph.D. Student / MIT Media Lab,MATLAB,7
Ph.D. Student / MIT Media Lab,X11,7
Ph.D. Student / MIT Media Lab.1,_architecture,7
Ph.D. Student / MIT Media Lab.1,_EC2,7
Ph.D. Student / MIT Media Lab.1,Macromedia Director,7
Ph.D. Student / MIT Media Lab.1,C,7
Ph.D. Student / MIT Media Lab.1,MATLAB,7
Ph.D. Student / MIT Media Lab.1,X11,7
Ph.D. Student / MIT Media Lab.2,_architecture,7
Ph.D. Student / MIT Media Lab.2,_EC2,7
Ph.D. Student / MIT Media Lab.2,Macromedia Director,7
Ph.D. Student / MIT Media Lab.2,C,7
Ph.D. Student / MIT Media Lab.2,MATLAB,7
Ph.D. Student / MIT Media Lab.2,X11,7
Ph.D. Student / MIT Media Lab.3,_architecture,7
Ph.D. Student / MIT Media Lab.3,_EC2,7
Ph.D. Student / MIT Media Lab.3,Macromedia Director,7
Ph.D. Student / MIT Media Lab.3,C,7
Ph.D. Student / MIT Media Lab.3,MATLAB,7
Ph.D. Student / MIT Media Lab.3,X11,7
Ph.D. Student / MIT Media Lab.4,_architecture,7
Ph.D. Student / MIT Media Lab.4,_EC2,7
Ph.D. Student / MIT Media Lab.4,Macromedia Director,7
Ph.D. Student / MIT Media Lab.4,C,7
Ph.D. Student / MIT Media Lab.4,MATLAB,7
Ph.D. Student / MIT Media Lab.4,X11,7
Ph.D. Student / MIT Media Lab.5,_architecture,7
Ph.D. Student / MIT Media Lab.5,_EC2,7
Ph.D. Student / MIT Media Lab.5,Macromedia Director,7
Ph.D. Student / MIT Media Lab.5,C,7
Ph.D. Student / MIT Media Lab.5,MATLAB,7
Ph.D. Student / MIT Media Lab.5,X11,7
Ph.D. Student / MIT Media Lab.6,_architecture,7
Ph.D. Student / MIT Media Lab.6,_EC2,7
Ph.D. Student / MIT Media Lab.6,Macromedia Director,7
Ph.D. Student / MIT Media Lab.6,C,7
Ph.D. Student / MIT Media Lab.6,MATLAB,7
Ph.D. Student / MIT Media Lab.6,X11,7
